Assortment,Probability
"[0, 11, 16, 21, 29, 10]","[0.09932195784949158, 0.13790571777384247, 0.1204257280959529, 0.04276163501809575, 0.0028531151471491837, 0.5967318461154684]"
"[0, 28]","[0.7655117229430666, 0.2344882770569336]"
"[0, 20, 15]","[0.12348759603665876, 0.5407057167502006, 0.3358066872131408]"
"[0, 13, 6, 30]","[0.23481094808062714, 0.34890677948169463, 0.4023796345168017, 0.013902637920876763]"
"[0, 27, 5, 12, 25]","[0.21265326306544804, 0.003163180065542911, 0.08857308744658672, 0.5214002731646936, 0.17421019625772882]"
"[0, 7, 21, 11, 30, 19]","[0.12155764327019017, 0.3642025973257546, 0.018387504771143592, 0.15747256167820833, 0.004058075190144024, 0.3343216177645595]"
"[0, 30]","[0.7116249158598886, 0.2883750841401116]"
"[0, 3, 13]","[0.29681009442236306, 0.10271118390016723, 0.6004787216774699]"
"[0, 26, 1, 16]","[0.32081139551224985, 0.008227518513550379, 0.10279116890808011, 0.5681699170661199]"
"[0, 5, 12, 25, 7]","[0.09155325882955115, 0.05207856491880314, 0.27673636521647, 0.1444415328431634, 0.4351902781920125]"
"[0, 25, 28, 12, 10, 17]","[0.058425427852688755, 0.12491968334142084, 0.0006862577793652067, 0.14238904400691768, 0.5464420579410634, 0.1271375290785444]"
"[0, 13]","[0.37037705537265336, 0.6296229446273469]"
"[0, 23, 15]","[0.23973605896766398, 0.12218538049653052, 0.6380785605358057]"
"[0, 18, 9, 29]","[0.14566122645280632, 0.30022508973266787, 0.5473988186178451, 0.0067148651966808595]"
"[0, 9, 19, 12, 22]","[0.09749947916482155, 0.4475492592713507, 0.2692953153880874, 0.15086482686061198, 0.03479111931512858]"
"[0, 5, 23, 17, 14, 27]","[0.16756818037361185, 0.07369689602795956, 0.06763410075915201, 0.31376484094543816, 0.37647320371246135, 0.0008627781813771098]"
"[0, 14]","[0.3550131820202494, 0.6449868179797509]"
"[0, 9, 4]","[0.1722764696786787, 0.7404903788808961, 0.08723315144042519]"
"[0, 19, 28, 10]","[0.09635006724081631, 0.30617358990860366, 0.002404057952641784, 0.5950722848979384]"
"[0, 8, 3, 17, 14]","[0.12881661122558488, 0.40341441991915394, 0.048148638802087106, 0.17473094264641523, 0.244889387406759]"
"[0, 9, 26, 14, 16, 21]","[0.11910888205293263, 0.46652568171625686, 0.0007060816080476122, 0.23657096054444873, 0.13017434009478734, 0.04691405398352687]"
"[0, 12]","[0.38229898441852733, 0.6177010155814728]"
"[0, 29, 19]","[0.20447650944395696, 0.010491140987331221, 0.7850323495687122]"
"[0, 19, 26, 23]","[0.18027812333923032, 0.7486906742282624, 0.0018360577860399518, 0.06919514464646763]"
"[0, 6, 26, 3, 24]","[0.16820566746858998, 0.5790741321915841, 0.0019806867201646863, 0.06290815280325242, 0.187831360816409]"
"[0, 15, 2, 17, 24, 27]","[0.15833631838325413, 0.41497344296212824, 0.028026399568460758, 0.2946988170258138, 0.10334720065330155, 0.0006178214070416606]"
"[0, 19]","[0.206054334119658, 0.7939456658803423]"
"[0, 8, 11]","[0.22141561830063605, 0.5158421021584231, 0.2627422795409411]"
"[0, 25, 11, 10]","[0.06771471158234404, 0.14135702979876702, 0.16313456978952953, 0.6277936888293596]"
"[0, 26, 7, 16, 13]","[0.1766156641177467, 0.0017652040201190304, 0.38585815120039835, 0.18407557518865422, 0.25168540547308177]"
"[0, 12, 21, 28, 2, 9]","[0.1312279680094094, 0.2311288414212973, 0.04769516221680706, 0.0018822529360837173, 0.04037220007880141, 0.5476935753376013]"
"[0, 9]","[0.22387921129745417, 0.7761207887025459]"
"[0, 25, 7]","[0.1534544920522899, 0.23637617434287606, 0.6101693336048342]"
"[0, 15, 8, 24]","[0.101067513511426, 0.32642754923904155, 0.44036382427042753, 0.13214111297910514]"
"[0, 27, 11, 4, 23]","[0.2581215188191206, 0.006404863547793263, 0.5360816007465246, 0.09604785384506044, 0.10334416304150125]"
"[0, 27, 25, 20, 12, 10]","[0.049067680490792756, 0.0003332169753414007, 0.08284153677920292, 0.264602469182312, 0.11491258706956645, 0.4882425095027846]"
"[0, 10]","[0.15928294232269213, 0.840717057677308]"
"[0, 17, 9]","[0.16572890234425136, 0.2584698380101494, 0.5758012596455995]"
"[0, 20, 15, 21]","[0.12140060492157448, 0.5359990127177439, 0.3347835673674138, 0.007816814993267997]"
"[0, 6, 22, 28, 14]","[0.15116239609249654, 0.38798298419208743, 0.09735144272948351, 0.0018822529360837173, 0.3616209240498489]"
"[0, 11, 29, 7, 5, 19]","[0.11256280158621376, 0.156376713011055, 0.0030144842471098512, 0.36033568338656596, 0.05186455970390455, 0.3158457580651511]"
"[0, 17]","[0.31320077927361195, 0.686799220726388]"
"[0, 11, 27]","[0.38972963089850887, 0.5975552667032795, 0.012715102398211777]"
"[0, 21, 17, 1]","[0.2711458217626468, 0.051425852828455326, 0.5997777788068386, 0.0776505466020596]"
"[0, 17, 15, 24, 4]","[0.15588267102712006, 0.29109697041629073, 0.4096177262382303, 0.0983497009533344, 0.04505293136502469]"
"[0, 21, 19, 12, 26, 10]","[0.08264106978309921, 0.014770845026358587, 0.2430097926318308, 0.1301544153814086, 0.0005295612060357091, 0.5288943159712673]"
"[0, 14]","[0.3550131820202494, 0.6449868179797509]"
"[0, 14, 2]","[0.2977748218435433, 0.6223223937717007, 0.07990278438475622]"
"[0, 16, 3, 15]","[0.21586979609969342, 0.2650947184482861, 0.06620723547155064, 0.45282824998047]"
"[0, 15, 20, 29, 8]","[0.08929227433163182, 0.21382003049099743, 0.3396319445804791, 0.0016372961617482679, 0.3556184544351435]"
"[0, 13, 10, 19, 25, 29]","[0.05251236047983906, 0.14279524765004356, 0.5026284594633107, 0.19653576430583974, 0.10450869334626052, 0.0010194747547066074]"
"[0, 8]","[0.27826220719908945, 0.7217377928009108]"
"[0, 12, 26]","[0.3814163824084678, 0.6121310249722872, 0.00645259261924511]"
"[0, 12, 30, 17]","[0.24630137260752283, 0.34338302452098346, 0.010127044025495045, 0.40018855884599885]"
"[0, 24, 19, 28, 5]","[0.15715116381136074, 0.08173919545832029, 0.6664237465126268, 0.003942416321623565, 0.09074347789606878]"
"[0, 15, 17, 2, 10, 24]","[0.06438962116962858, 0.2092454806535465, 0.11320452529034769, 0.016639615921603186, 0.5093964488360823, 0.08712430812879189]"
"[0, 2]","[0.6171762553809882, 0.382823744619012]"
"[0, 26, 10]","[0.15663513629251358, 0.005119091658345188, 0.8382457720491414]"
"[0, 22, 8, 20]","[0.10410088592604427, 0.019912424543558342, 0.4237752412714426, 0.45221144825895493]"
"[0, 17, 23, 26, 14]","[0.18059723649859394, 0.3319611847275638, 0.09295562578375495, 0.0006178214070416606, 0.3938681315830458]"
"[0, 14, 6, 23, 18, 2]","[0.10202428856736201, 0.24984263157488593, 0.32738859898374384, 0.07315632440590153, 0.22735526107948495, 0.020232895388621955]"
"[0, 20]","[0.15439399488770264, 0.8456060051122973]"
"[0, 4, 8]","[0.20671031496185804, 0.10179995910219754, 0.6914897259359447]"
"[0, 13, 6, 19]","[0.1257509028790007, 0.21104621573913782, 0.3222947767997728, 0.3409081045820888]"
"[0, 13, 5, 6, 29]","[0.15736713947338787, 0.339228093839503, 0.10110472567284476, 0.39579441621729544, 0.006505624796969109]"
"[0, 20, 25, 8, 5, 14]","[0.05848093316507637, 0.2940464046567022, 0.0795069749172908, 0.35954068069619405, 0.023783400624688047, 0.1846416059400487]"
"[0, 13]","[0.37037705537265336, 0.6296229446273469]"
"[0, 3, 12]","[0.30590173923757985, 0.10946137296388421, 0.5846368877985361]"
"[0, 6, 19, 1]","[0.15083524800843207, 0.37536219474688926, 0.45385393291936976, 0.019948624325309153]"
"[0, 4, 20, 29, 12]","[0.12446005493751529, 0.03618071516429353, 0.5926678922755096, 0.0022761500942710218, 0.24441518752841054]"
"[0, 6, 23, 19, 5, 29]","[0.12056045132269468, 0.37131644285561216, 0.05164917618344757, 0.4010762577376431, 0.05156231226251433, 0.0038353596380883556]"
"[0, 18]","[0.2624907787499089, 0.7375092212500911]"
"[0, 16, 8]","[0.21719706670628539, 0.25761255713972714, 0.5251903761539876]"
"[0, 30, 10, 16]","[0.13017409981748734, 0.013240313822332374, 0.6889537764194383, 0.167631809940742]"
"[0, 14, 18, 7, 4]","[0.12097553803726252, 0.24353053546584635, 0.23190219464583195, 0.3528622815258866, 0.05072945032517272]"
"[0, 28, 15, 3, 24, 9]","[0.08696061745238208, 0.001107734955712559, 0.29107527803177635, 0.03140437995577623, 0.10530647823765935, 0.4841455113666937]"
"[0, 3]","[0.5770967690161186, 0.42290323098388155]"
"[0, 2, 9]","[0.18697604132541035, 0.05938751595630391, 0.7536364427182858]"
"[0, 29, 6, 13]","[0.23759347247648444, 0.00841743356078388, 0.40271790418576037, 0.3512711897769716]"
"[0, 30, 25, 4, 16]","[0.21165526105314297, 0.02391356463763331, 0.16027704592257855, 0.11578381741161044, 0.488370310975035]"
"[0, 18, 26, 15, 22, 6]","[0.11223280716344733, 0.22844826084671216, 0.0005295612060357091, 0.2793584543530529, 0.055855447823373844, 0.3235754686073783]"
"[0, 9]","[0.22387921129745417, 0.7761207887025459]"
"[0, 26, 3]","[0.5631794348619698, 0.0766396842613243, 0.36018088087670624]"
"[0, 18, 29, 24]","[0.20117791766977022, 0.6627919053473428, 0.012510428928625611, 0.12351974805426164]"
"[0, 17, 5, 10, 12]","[0.09186889124003869, 0.1369748296053952, 0.06290741076518558, 0.5574845935106416, 0.1507642748787391]"
"[0, 11, 8, 18, 4, 28]","[0.1266624641717189, 0.16517514976755648, 0.4112460158282577, 0.24221907530494088, 0.05151096280503566, 0.0031863321224905846]"
"[0, 30]","[0.7116249158598886, 0.2883750841401116]"
"[0, 5, 21]","[0.40333017170227553, 0.4105109101336198, 0.18615891816410488]"
"[0, 1, 24, 17]","[0.2303499432665093, 0.06766017399756133, 0.12656073334270737, 0.5754291493932222]"
"[0, 16, 9, 13, 30]","[0.14649563951194805, 0.14768729685708856, 0.4845725472195458, 0.21364592779380132, 0.007598588617616442]"
"[0, 19, 11, 21, 10, 1]","[0.0825366515282634, 0.24498655000196717, 0.11192355899798297, 0.013752736319521319, 0.5351948193724698, 0.011605683779795518]"
"[0, 3]","[0.5770967690161186, 0.42290323098388155]"
"[0, 14, 1]","[0.30707713201215864, 0.6263289824995799, 0.06659388548826163]"
"[0, 26, 15, 3]","[0.2726269208890879, 0.002311536176544991, 0.6358757213394002, 0.08918582159496707]"
"[0, 13, 21, 29, 10]","[0.10680756499681777, 0.20986818973929425, 0.04874894165653068, 0.0025198981718077833, 0.6320554054355497]"
"[0, 27, 1, 14, 22, 16]","[0.20385859358945144, 0.0012158189854009158, 0.03235221432108102, 0.41381487030104036, 0.06767311274672747, 0.28108539005629896]"
"[0, 1]","[0.654406942982526, 0.34559305701747417]"
"[0, 7, 20]","[0.11532942311762273, 0.38563677031793553, 0.4990338065644419]"
"[0, 15, 18, 9]","[0.11542008827261802, 0.2462519117170169, 0.20174221958414293, 0.4365857804262223]"
"[0, 17, 29, 7, 3]","[0.18293072306181235, 0.30048100137663675, 0.013564689991797106, 0.4396196833694737, 0.06340390220028026]"
"[0, 1, 26, 24, 8, 17]","[0.12620081424977547, 0.01970268702238738, 0.0007348703230063475, 0.11599983477590724, 0.49203448178750037, 0.24532731184142345]"
"[0, 4]","[0.5375828219032884, 0.46241717809671173]"
"[0, 21, 10]","[0.12492420314107575, 0.06018589871638979, 0.8148898981425345]"
"[0, 7, 4, 18]","[0.16194827052003213, 0.42092462599769764, 0.06337268157536091, 0.35375442190690953]"
"[0, 5, 18, 14, 22]","[0.15824651337648588, 0.07196837257298397, 0.3731221405444602, 0.3571208715292163, 0.03954210197685382]"
"[0, 11, 5, 24, 28, 10]","[0.0732508287285874, 0.16024972519635663, 0.048534756462161974, 0.09142633859436716, 0.0009510383823830612, 0.625587312636144]"
"[0, 1]","[0.654406942982526, 0.34559305701747417]"
"[0, 23, 13]","[0.2636031349911699, 0.1310567535541217, 0.6053401114547086]"
"[0, 26, 8, 19]","[0.13959581646307537, 0.0013526917300480082, 0.45311374681144034, 0.40593774499543633]"
"[0, 20, 29, 25, 12]","[0.09843452685288023, 0.5566255775822189, 0.0013935480842115064, 0.09621166110141917, 0.24733468637927036]"
"[0, 19, 14, 7, 26, 1]","[0.11234450763332562, 0.2993866254412304, 0.22541085382014314, 0.3461530661856037, 0.0005295612060357091, 0.01617538571366154]"
"[0, 13]","[0.37037705537265336, 0.6296229446273469]"
"[0, 2, 19]","[0.1966664772688662, 0.0564179937533249, 0.7469155289778091]"
"[0, 30, 24, 10]","[0.09010283553332303, 0.0045581814119719, 0.12591144686222525, 0.7794275361924801]"
"[0, 26, 1, 15, 20]","[0.11975868705333678, 0.00026478060301785456, 0.013175351413698681, 0.33277977271499276, 0.534021408214954]"
"[0, 15, 18, 6, 3, 23]","[0.09547751982207298, 0.27407303005635986, 0.21370579587814298, 0.32136580349927046, 0.02675679065944143, 0.0686210600847125]"
"[0, 5]","[0.49597170607353724, 0.5040282939264629]"
"[0, 12, 25]","[0.22868013332179726, 0.5627079849535213, 0.20861188172468162]"
"[0, 28, 7, 5]","[0.20871994969881863, 0.01291840415222372, 0.6482132966421668, 0.13014834950679094]"
"[0, 6, 5, 17, 12]","[0.13576626439458184, 0.3483280709032975, 0.08020915420693227, 0.21116266331850922, 0.22453384717667932]"
"[0, 8, 17, 12, 4, 28]","[0.13189638253161776, 0.41644134572873304, 0.18507088183286646, 0.20127260300978803, 0.06169115376947454, 0.0036276331275203423]"
"[0, 19]","[0.206054334119658, 0.7939456658803423]"
"[0, 18, 12]","[0.21285197292661648, 0.46843584908885993, 0.3187121779845238]"
"[0, 26, 3, 6]","[0.252608572023029, 0.009571064006676516, 0.1031281816109369, 0.6346921823593579]"
"[0, 16, 24, 27, 1]","[0.2490010672766604, 0.5308255123974106, 0.13419376785575737, 0.00612843709607703, 0.07985121537409468]"
"[0, 23, 15, 1, 18, 10]","[0.07135690296188961, 0.05677390651726859, 0.20518428495848814, 0.011911379936314808, 0.1522045812239088, 0.5025689444021303]"
"[0, 5]","[0.49597170607353724, 0.5040282939264629]"
"[0, 14, 25]","[0.21205139448513072, 0.5976417313795114, 0.19030687413535813]"
"[0, 9, 27, 20]","[0.09727489757829251, 0.4821187733379545, 0.0006862577793652067, 0.419920071304388]"
"[0, 10, 1, 24, 13]","[0.07566851189841256, 0.6045554885114282, 0.01639217762460232, 0.10188854973604203, 0.2014952722295151]"
"[0, 21, 9, 17, 27, 13]","[0.12029549154094663, 0.042346383853485756, 0.4693813182301806, 0.1629863930994817, 0.0013725155587304134, 0.20361789771717517]"
"[0, 5]","[0.49597170607353724, 0.5040282939264629]"
"[0, 17, 24]","[0.23569224450731777, 0.6234111597833942, 0.14089659570928817]"
"[0, 10, 24, 12]","[0.07922734788594726, 0.6250907713286948, 0.11219026655205752, 0.18349161423330052]"
"[0, 30, 3, 7, 11]","[0.17733857377620155, 0.012075817655233361, 0.07901017969033075, 0.4537864732999056, 0.2777889555783289]"
"[0, 28, 8, 19, 4, 24]","[0.10098510251010981, 0.00203240201673426, 0.4437653490016559, 0.3440684447517269, 0.028361447509527633, 0.08078725421024564]"
"[0, 17]","[0.31320077927361195, 0.686799220726388]"
"[0, 6, 15]","[0.21198298110981778, 0.38056237572572804, 0.40745464316445434]"
"[0, 25, 7, 26]","[0.15329779547896039, 0.23572956422087565, 0.6098636966476529, 0.0011089436525112465]"
"[0, 18, 11, 1, 23]","[0.17353889823363017, 0.44565695818137385, 0.2766287793457687, 0.027088344493292234, 0.0770870197459352]"
"[0, 30, 10, 15, 3, 20]","[0.06723335309109625, 0.0024363104974330007, 0.46206911372244275, 0.1763990049323511, 0.01423237626407712, 0.2776298414926]"
"[0, 27]","[0.782895338188085, 0.21710466181191512]"
"[0, 3, 16]","[0.30238451464339855, 0.14691367642416725, 0.5507018089324344]"
"[0, 21, 17, 26]","[0.2809366458328173, 0.05954495205565424, 0.6544351506695067, 0.00508325144202198]"
"[0, 17, 10, 5, 11]","[0.09340366802311609, 0.14088882079600962, 0.5681875802471119, 0.06385190165488969, 0.133668029278873]"
"[0, 7, 1, 11, 27, 19]","[0.12356890783091032, 0.36294882438784887, 0.017041195137347483, 0.15847100390743382, 0.0016372961617482679, 0.33633277257471145]"
"[0, 27]","[0.782895338188085, 0.21710466181191512]"
"[0, 24, 2]","[0.35957012982157627, 0.43823251149056375, 0.20219735868786015]"
"[0, 15, 25, 17]","[0.14501108697330004, 0.41681579080703346, 0.1425461664308164, 0.2956269557888504]"
"[0, 23, 27, 8, 13]","[0.12910149781751695, 0.11453121714091324, 0.001107734955712559, 0.4699158307454794, 0.28534371934037805]"
"[0, 29, 15, 21, 5, 18]","[0.15966980464855443, 0.0028057113003067302, 0.38959051544629575, 0.019608376450161686, 0.07140900912999062, 0.3569165830246909]"
"[0, 26]","[0.7981992392461229, 0.20180076075387726]"
"[0, 27, 14]","[0.3537040501402254, 0.005587386291980651, 0.6407085635677943]"
"[0, 9, 27, 12]","[0.1831823004836851, 0.5728680033125033, 0.002897435331145164, 0.24105226087266657]"
"[0, 14, 30, 10, 23]","[0.08663983944999792, 0.2286812196902023, 0.0025930070707624988, 0.5973209038766778, 0.08476502991235962]"
"[0, 20, 24, 9, 2, 11]","[0.07237376322924516, 0.3199022314383222, 0.052748449125287346, 0.4295128172324635, 0.009336507076384531, 0.11612623189829739]"
"[0, 16]","[0.35380467873167504, 0.6461953212683251]"
"[0, 8, 20]","[0.10950226968329951, 0.4242687999111338, 0.46622893040556684]"
"[0, 4, 24, 10]","[0.08345872319925518, 0.043339056655534655, 0.10863513224875618, 0.7645670878964541]"
"[0, 22, 19, 1, 10]","[0.08579590159166159, 0.02930823271061237, 0.28403805445773445, 0.012072976028658356, 0.5887848352113334]"
"[0, 9, 23, 15, 19, 3]","[0.0788414632860045, 0.41245706880590394, 0.048613810716152374, 0.21769420398486547, 0.2235440072942294, 0.018849445912844508]"
"[0, 7]","[0.3170062632437462, 0.682993736756254]"
"[0, 8, 3]","[0.21631987590269897, 0.6977310304648161, 0.0859490936324851]"
"[0, 11, 8, 19]","[0.12350374912488943, 0.1475192649608149, 0.402512708234816, 0.3264642776794798]"
"[0, 1, 13, 29, 9]","[0.15232059035362394, 0.042645411531046666, 0.2634846783679609, 0.00502035268191917, 0.5365289670654495]"
"[0, 13, 19, 9, 26, 1]","[0.10257938921303936, 0.1740782979107232, 0.2717447221844126, 0.4363439171275312, 0.0006178214070416606, 0.014635852157252209]"
"[0, 6]","[0.34559992808854784, 0.6544000719114522]"
"[0, 30, 5]","[0.46931445913811665, 0.12326235172010576, 0.4074231891417778]"
"[0, 20, 10, 21]","[0.07759535375069139, 0.36146787443214706, 0.5525853844789683, 0.008351387338193336]"
"[0, 2, 29, 14, 19]","[0.1540253579025196, 0.028519605955913213, 0.0032241048138076096, 0.3359859158909787, 0.47824501543678105]"
"[0, 3, 22, 13, 30, 6]","[0.1396303757850148, 0.05323145644523289, 0.06971493247363539, 0.3349698228801156, 0.005648347672035848, 0.39680506474396565]"
"[0, 28]","[0.7655117229430666, 0.2344882770569336]"
"[0, 27, 8]","[0.27004933597890474, 0.010782590632432271, 0.7191680733886632]"
"[0, 13, 20, 3]","[0.12389166462482129, 0.271776677366286, 0.5770991892838873, 0.027232468725005565]"
"[0, 22, 6, 16, 27]","[0.19439428984900697, 0.08915997433653503, 0.42801147986147203, 0.28387609363109617, 0.00455816232188994]"
"[0, 13, 27, 16, 25, 2]","[0.16677268407545046, 0.3689479455285196, 0.0008838107068582027, 0.28898571762839625, 0.14429064241961737, 0.030119199641158285]"
"[0, 25]","[0.349485660879284, 0.6505143391207162]"
"[0, 3, 20]","[0.14649053506986603, 0.05189018700117255, 0.8016192779289615]"
"[0, 24, 5, 28]","[0.32379699319811545, 0.34822230213336935, 0.27762532332654, 0.050355381341975425]"
"[0, 6, 11, 1, 24]","[0.127616095949239, 0.4211428339207439, 0.2910345005883192, 0.024722079493152846, 0.13548449004854513]"
"[0, 22, 17, 5, 30, 15]","[0.17005638906854012, 0.04304920053749908, 0.29505311458664735, 0.07438952444263165, 0.004973777364889395, 0.4124779939997927]"
"[0, 26]","[0.7981992392461229, 0.20180076075387726]"
"[0, 14, 9]","[0.17265771380204267, 0.2913104099442233, 0.5360318762537342]"
"[0, 18, 28, 4]","[0.23101591887474332, 0.6461181691297875, 0.007883467533121044, 0.11498244446234841]"
"[0, 13, 16, 25, 27]","[0.1699041859972293, 0.3792527112046548, 0.2961141273225763, 0.1538451647686815, 0.0008838107068582027]"
"[0, 12, 23, 16, 2, 9]","[0.1008501218420971, 0.1790671833361398, 0.08170198999778827, 0.12806482091921187, 0.026667809480456856, 0.4836480744243063]"
"[0, 12]","[0.38229898441852733, 0.6177010155814728]"
"[0, 27, 12]","[0.38046029133246756, 0.009397201416842096, 0.6101425072506904]"
"[0, 5, 10, 19]","[0.08715238625400429, 0.04561033420260042, 0.5828936317912148, 0.2843436477521807]"
"[0, 13, 17, 26, 21]","[0.21438175151404787, 0.36981815769703236, 0.3641446054842799, 0.0008826020100595152, 0.0507728832945805]"
"[0, 2, 24, 12, 28, 10]","[0.07597549410407348, 0.0239073537832569, 0.09913652549407154, 0.18052989171899533, 0.0010392985833890128, 0.619411436316214]"
"[0, 29]","[0.7419953994050248, 0.25800460059497554]"
"[0, 14, 9]","[0.17265771380204267, 0.2913104099442233, 0.5360318762537342]"
"[0, 20, 2, 10]","[0.07761335503386364, 0.36246521289510697, 0.010232151740722046, 0.5496892803303075]"
"[0, 6, 12, 27, 16]","[0.18868786205893553, 0.36020030243474466, 0.24295806218328123, 0.0032259797798553955, 0.20492779354318338]"
"[0, 3, 15, 19, 27, 22]","[0.13691154326162408, 0.029537075611319435, 0.36408052341791924, 0.4383748983436242, 0.0007060816080476122, 0.030389877757465607]"
"[0, 1]","[0.654406942982526, 0.34559305701747417]"
"[0, 18, 2]","[0.24525692742700572, 0.678036026447062, 0.07670704612593254]"
"[0, 6, 5, 26]","[0.22646434995228476, 0.6248109786436298, 0.14054594678482196, 0.008178724619263698]"
"[0, 16, 27, 21, 3]","[0.27771827779339486, 0.5320874430150222, 0.007023106745341308, 0.05096684820053548, 0.1322043242457065]"
"[0, 25, 29, 16, 11, 5]","[0.17003219029792907, 0.13436640886091925, 0.0026183568932068918, 0.3200429872222912, 0.3024128053989693, 0.07052725132668454]"
"[0, 17]","[0.31320077927361195, 0.686799220726388]"
"[0, 14, 21]","[0.2887455659871293, 0.6343763857843732, 0.0768780482284979]"
"[0, 12, 4, 23]","[0.2516106601277834, 0.55782516646951, 0.08884153247521942, 0.10172264092748737]"
"[0, 26, 4, 14, 16]","[0.21835239851108798, 0.001500423417101176, 0.08116910752818467, 0.4143462153893401, 0.28463185515428624]"
"[0, 1, 15, 22, 8, 30]","[0.12333331159172051, 0.02915978603191286, 0.3303520560552928, 0.06924100266469091, 0.44365904406855877, 0.004254799587824341]"
"[0, 9]","[0.22387921129745417, 0.7761207887025459]"
"[0, 6, 3]","[0.25887504629445157, 0.6360460827862044, 0.10507887091934416]"
"[0, 4, 23, 9]","[0.125205452108986, 0.0605782416119754, 0.09789422391162272, 0.7163220823674159]"
"[0, 30, 8, 14, 18]","[0.13303761599349284, 0.0047404207768500795, 0.39299230885904, 0.23327897704391076, 0.23595067732670644]"
"[0, 13, 7, 20, 26, 21]","[0.0969063733498883, 0.1763596976607623, 0.33475693010880414, 0.3834721035624021, 0.00026478060301785456, 0.008240114715125497]"
"[0, 23]","[0.45415027380082446, 0.5458497261991758]"
"[0, 5, 20]","[0.14160458019063027, 0.07709627222540126, 0.7812991475839686]"
"[0, 22, 14, 5]","[0.241112147160998, 0.06093918906973485, 0.5906323162256619, 0.10731634754360553]"
"[0, 3, 6, 18, 29]","[0.17103301564909046, 0.05151014989366724, 0.39166128770527503, 0.3762403194066733, 0.009555227345294222]"
"[0, 1, 19, 22, 15, 26]","[0.13964878958972907, 0.017862967772416465, 0.44217766933560354, 0.03283640474871502, 0.3670328675485064, 0.0004413010050297576]"
"[0, 9]","[0.22387921129745417, 0.7761207887025459]"
"[0, 23, 26]","[0.44178451869989566, 0.472774551385075, 0.0854409299150296]"
"[0, 26, 9, 21]","[0.17171416131358766, 0.001460775759736365, 0.7521373241363409, 0.07468773879033527]"
"[0, 20, 23, 9, 12]","[0.07904960098038474, 0.32879085676221376, 0.03198972897434522, 0.42635200871803347, 0.13381780456502296]"
"[0, 1, 15, 27, 16, 23]","[0.18458242815885406, 0.026510394131092067, 0.4445096693029107, 0.0007943418090535636, 0.25669689989432654, 0.08690626670376328]"
"[0, 10]","[0.15928294232269213, 0.840717057677308]"
"[0, 6, 27]","[0.3341672635042827, 0.6513987017397822, 0.01443403475593513]"
"[0, 27, 8, 12]","[0.2144056602250593, 0.003583693110510371, 0.5005744655797373, 0.28143618108469326]"
"[0, 5, 12, 22, 6]","[0.13523455014344393, 0.08159022307139194, 0.31391018468481624, 0.06171061543053187, 0.4075544266698162]"
"[0, 4, 20, 26, 23, 12]","[0.11562358453110413, 0.0336214316167246, 0.5783053353754176, 0.00017652040201190304, 0.028848626586079146, 0.24342450148866268]"
"[0, 2]","[0.6171762553809882, 0.382823744619012]"
"[0, 23, 14]","[0.25253747186035774, 0.12735711394289728, 0.6201054141967451]"
"[0, 19, 24, 7]","[0.11341218733211364, 0.38351147349773407, 0.09397560007550693, 0.40910073909464556]"
"[0, 26, 11, 5, 18]","[0.1861291631477268, 0.0012842553577244618, 0.2744267504356831, 0.08724426005537432, 0.45091557100349156]"
"[0, 6, 23, 17, 1, 30]","[0.15973569193725032, 0.4083032605143483, 0.09173405701629614, 0.3026608226288308, 0.025685673672682423, 0.011880494230592054]"
"[0, 27]","[0.782895338188085, 0.21710466181191512]"
"[0, 23, 27]","[0.43871892385635664, 0.45751273863438335, 0.10376833750926026]"
"[0, 1, 20, 23]","[0.1387882240026997, 0.0312090192275127, 0.7958555679014585, 0.03414718886832922]"
"[0, 25, 15, 17, 26]","[0.14501108697330004, 0.1423696460288045, 0.41681579080703346, 0.2956269557888504, 0.00017652040201190304]"
"[0, 22, 13, 27, 8, 5]","[0.12118055459143903, 0.05683907559734411, 0.27863871721439476, 0.0012842553577244618, 0.465700521042705, 0.07635687619639289]"
"[0, 14]","[0.3550131820202494, 0.6449868179797509]"
"[0, 6, 27]","[0.3341672635042827, 0.6513987017397822, 0.01443403475593513]"
"[0, 2, 9, 11]","[0.154480217278805, 0.053986217931073735, 0.5735084789276064, 0.2180250858625152]"
"[0, 19, 3, 27, 7]","[0.13986751355114033, 0.4189828724428049, 0.033075926218792795, 0.002460426685760567, 0.40561326110150153]"
"[0, 8, 29, 4, 15, 24]","[0.09413283587679429, 0.4371099475917738, 0.0019705131370896687, 0.041481714066531464, 0.3178847905501266, 0.10742019877768433]"
"[0, 3]","[0.5770967690161186, 0.42290323098388155]"
"[0, 11, 2]","[0.3269775972829148, 0.5778238063838956, 0.09519859633318964]"
"[0, 8, 12, 1]","[0.1797890483843178, 0.48935414827432755, 0.28059391209132956, 0.05026289125002524]"
"[0, 10, 30, 23, 3]","[0.09474951216507191, 0.7769285035743336, 0.004725736927707474, 0.08465485398382198, 0.038941393349065156]"
"[0, 29, 5, 18, 13, 6]","[0.1209763349008841, 0.0037403896838398686, 0.06774332160969947, 0.24825380671683323, 0.22644845107075864, 0.33283769601798485]"
"[0, 1]","[0.654406942982526, 0.34559305701747417]"
"[0, 6, 23]","[0.21705187560945843, 0.6106702215451498, 0.17227790284539185]"
"[0, 18, 1, 29]","[0.24569306129808904, 0.6769337937871508, 0.06305337313266529, 0.014319771782095078]"
